"title","year","cast__001","cast__002","cast__003","cast__004","cast__005","cast__006","cast__007","genres__001","genres__002","genres__003","genres__004"
"In the Footprints of Mozart","1914","Charlotte Burton","William Bertram","Edith Borella","","","","","","","",""
"The Forbidden Room","1914","Murdock MacQuarrie","Pauline Bush","","","","","","Drama","","",""
"Gentlemen of Nerve","1914","Charlie Chaplin","Mabel Normand","Chester Conklin","","","","","Comedy","","",""
"Gertie the Dinosaur","1914","Winsor McCay","George McManus","","","","","","Animated","","",""
"Getting Acquainted","1914","Charlie Chaplin","Mabel Normand","Phyllis Allen","","","","","Comedy","","",""
"The Ghost Breaker","1914","H. B. Warner","Rita Stanwood","Theodore Roberts","","","","","Drama","","",""
"The Girl in the Shack","1914","Earle Foxe","Spottiswoode Aitken","Mae Marsh","","","","","","","",""
"A Good Little Devil","1914","Mary Pickford","Ernest Truex","David Belasco","","","","","Drama","","",""
"The Green-Eyed Devil","1914","Spottiswoode Aitken","Earle Foxe","William Garwood","","","","","","","",""
"A Happy Coersion","1914","Perry Banks","William Bertram","Jacques Jaccard","","","","","","","",""
"The Hazards of Helen","1914","Helen Holmes","","","","","","","Adventure","","",""
"Her Friend the Bandit","1914","Charles Chaplin","Mabel Normand","Charles Murray","","","","","Comedy","","",""
"Her Younger Sister","1914","Charlotte Burton","Fred Gamble","","","","","","Comedy","","",""
"His Faith in Humanity","1914","William Garwood","Louise Lester","","","","","","","","",""
"His Father's Rifle","1914","Earle Foxe","Bertram Grassby","","","","","","Drama","","",""
"His Favourite Pastime","1914","Charlie Chaplin","Fatty Arbuckle","Viola Barry","","","","","Comedy","","",""
"His Majesty, the Scarecrow of Oz","1914","Violet MacMillan","Pierre Couderc","","","","","","Fantasy","","",""
"His Musical Career","1914","Charlie Chaplin","Mack Swain","Charley Chase","","","","","Comedy","","",""
"His New Profession","1914","Charlie Chaplin","Charley Chase","Fatty Arbuckle","","","","","Comedy","","",""
"His Prehistoric Past","1914","Charlie Chaplin","Mack Swain","Fritz Schade","","","","","Comedy","","",""
"His Trysting Place","1914","Charlie Chaplin","Mabel Normand","","","","","","Comedy","","",""
"Home, Sweet Home","1914","Earle Foxe","Henry B. Walthall","Dorothy Gish","","","","","Biography","Drama","",""
"The Hopes of Blind Alley","1914","Murdock MacQuarrie","Pauline Bush","","","","","","Drama","","",""
"The Hunchback","1914","F. A. Turner","William Garwood","Lillian Gish","","","","","Drama","","",""
"Imar the Servitor","1914","William Garwood","","","","","","","Drama","","",""
"In Tune","1914","Charlotte Burton","Edward Coxen","George Field","Winifred Greenwood","","","","","","",""
"In the Candlelight","1914","William Garwood","Charlotte Burton","","","","","","","","",""
"In the Land of the Head Hunters","1914","","","","","","","","Documentary","Drama","",""
"In the Open","1914","William Garwood","Louise Lester","","","","","","","","",""
"Jail Birds","1914","William Garwood","Charlotte Burton","","","","","","","","",""
"Judith of Bethulia","1914","Blanche Sweet","Henry B. Walthall","","","","","","Drama","","",""
"The Jungle","1914","George Nash","Gail Kane","Julia Hurley","","","","","Drama","","",""
"Kid Auto Races at Venice","1914","Charlie Chaplin","","","","","","","Comedy","","",""
"The Kiss","1914","Ella Margaret Gibson","George Holt","William Desmond Taylor","","","","","Drama","","",""
"The Knockout","1914","Charlie Chaplin","Fatty Arbuckle","Edgar Kennedy","","","","","Comedy","","",""
"Laughing Gas","1914","Charlie Chaplin","Fritz Schade","","","","","","Comedy","","",""
"The Life of General Villa","1914","Pancho Villa","Irene Hunt","Raoul Walsh","","","","","Drama","","",""
"Little Lord Fauntleroy","1914","H. Agar Lyons","Fred Eustace","Edward Viner","","","","","Drama","","",""
"A Little Madonna","1914","William Desmond Taylor","Patricia Palmer","","","","","","Drama","","",""
"The Livid Flame","1914","Earle Foxe","Lafe McKee","","","","","","Drama","","",""
"The Lost Sermon","1914","William Garwood","Harry De Vere","Harry von Meter","","","","","","","",""
"Love and Bullets","1914","Fatty Arbuckle","Phyllis Allen","Charley Chase","","","","","Comedy","","",""
"The Lover's Gift","1914","Earle Foxe","Mary Alden","Francelia Billington","","","","","","","",""
"Lucille Love, Girl of Mystery","1914","Grace Cunard","Francis Ford","Harry Schumm","John Ford","","","","Action","","",""
"The Lure of the Sawdust","1914","Charlotte Burton","George Field","Edward Coxen","","","","","Drama","","",""
"Mabel at the Wheel","1914","Charlie Chaplin","Mabel Normand","","","","","","Comedy","","",""
"Mabel's Blunder","1914","Mabel Normand","Charly Chase","Al St. John","","","","","Comedy","","",""
"Mabel's Busy Day","1914","Charlie Chaplin","Mabel Normand","","","","","","Comedy","","",""
"Mabel's Married Life","1914","Charlie Chaplin","Mabel Normand","","","","","","Comedy","","",""
"Mabel's Strange Predicament","1914","Charlie Chaplin","Mabel Normand","","","","","","Comedy","","",""
"The Magic Cloak of Oz","1914","Juanita Hansen","Violet MacMillan","Mildred Harris","","","","","Fantasy","Drama","",""
"Making a Living","1914","Charlie Chaplin","Virginia Kirtley","Alice Davenport","","","","","Comedy","","",""
"The Man from Home","1914","Charles Richman","Theodore Roberts","Fred Montague","","","","","Drama","","",""
"A Man's Way","1914","William Garwood","Charlotte Burton","Louise Lester","","","","","","","",""
"The Masquerader","1914","Charlie Chaplin","Fatty Arbuckle","","","","","","Comedy","","",""
"The Master Key","1914","Robert Z. Leonard","Ella Hall","","","","","","","","",""
"The Master Mind","1914","Edmund Breese","Fred Montague","Jane Darwell","","","","","Crime","Drama","",""
"Mein Lieber Katrina","1914","Charlotte Burton","George Field","Ida Lewis","","","","","Comedy","","",""
"Michael Strogoff","1914","Jacob P. Adler","Daniel Makarenko","Eleanor Barry","","","","","Drama","","",""
"Mein Lieber Katrina Catches a Convict","1914","Charlotte Burton","Harry De Vere","Perry Banks","","","","","Comedy","","",""
"The Mystery of the Hindu Image","1914","Raoul Walsh","Dark Cloud","Eagle Eye","","","","","Drama","","",""
"Nature's Touch","1914","William Garwood","Jack Richardson","Louise Lester","","","","","","","",""
"The Navy Aviator","1914","Sydney Ayres","Caroline Cooke","Jack Richardson","","","","","","","",""
"Neptune's Daughter","1914","Annette Kellerman","William E. Shay","William Welsh","","","","","Fantasy","","",""
"The New Janitor","1914","Charlie Chaplin","Jess Dandy","John T. Dillon","","","","","Comedy","","",""
"Old Enough to Be Her Grandpa","1914","Charlotte Burton","William Garwood","","","","","","Comedy","","",""
"The Only Son","1914","Jim Blackwell","Jane Darwell","","","","","","","","",""
"The Patchwork Girl of Oz","1914","Violet MacMillan","Pierre Couderc","","","","","","Fantasy","Drama","",""
"The Perils of Pauline","1914","Pearl White","","","","","","","Adventure","","",""
"The Power of Light","1914","Charlotte Burton","Sydney Ayres","Jacques Jaccard","","","","","Drama","","",""
"The Property Man","1914","Charlie Chaplin","Phyllis Allen","Alice Davenport","","","","","Comedy","","",""
"Recreation","1914","Charles Chaplin","","","","","","","Comedy","","",""
"Redbird Wins","1914","Perry Banks","William Garwood","","","","","","","","",""
"The Redemption of a Pal","1914","Edith Borella","Charlotte Burton","George Field","","","","","Drama","","",""
"Richelieu","1914","Murdock MacQuarrie","William C. Dowlan","","","","","","Biography","","",""
"The Rose Bush of Memories","1914","Earle Foxe","Mary Alden","Francelia Billington","","","","","","","",""
"Rose of the Rancho","1914","Bessie Barriscale","Jane Darwell","Jeanie MacPherson","","","","","Western","","",""
"Rosemary, That's for Remembrance","1914","Earle Foxe","Adda Gleason","","","","","","Drama","","",""
"The Rounders","1914","Charlie Chaplin","Fatty Arbuckle","Phyllis Allen","","","","","Comedy","","",""
"Salomy Jane","1914","Beatriz Michelena","House Peters","","","","","","Western","","",""
"Samson","1914","J. Warren Kerrigan","George Periolat","Lule Warrenton","","","","","Drama","","",""
"Shotgun Jones","1914","Wheeler Oakman","","","","","","","Western","","",""
"Should a Woman Divorce?","1914","Lea Leland","Leonid Samoloff","","","","","","Drama","","",""
"Sir Galahad of Twilight","1914","Perry Banks","B. Reeves Eason","William Garwood","","","","","Drama","","",""
"The Sleeping Sentinel","1914","","","","","","","","Historical","Drama","",""
"A Slice of Life","1914","Charlotte Burton","Perry Banks","","","","","","","","",""
"The Son of Thomas Gray","1914","Virginia Fordyce","Sydney Ayres","Jacques Jaccard","","","","","","","",""
"The Song of the Sea Shell","1914","Edith Borella","Charlotte Burton","George Field","","","","","Drama","","",""
"A Soul Astray","1914","Charlotte Burton","William Bertram","Edith Borella","","","","","","","",""
"The Sower Reaps","1914","William Garwood","Harry von Meter","Vivian Rich","","","","","Drama","","",""
"Sparrow of the Circus","1914","B. Reeves Eason","Jack Richardson","","","","","","","","",""
"The Spoilers","1914","William Farnum","Kathlyn Williams","Tom Santschi","","","","","Drama","","",""
"The Squaw Man","1914","Dustin Farnum","","","","","","","Western","","",""
"The Star Boarder","1914","Charlie Chaplin","Minta Durfee","Edgar Kennedy","Alice Davenport","Gordon Griffith","","","Comedy","","",""
"A Story of Little Italy","1914","Sydney Ayres","Jacques Jaccard","Jack Richardson","Vivian Rich","Harry von Meter","","","","","",""
"The Story of the Olive","1914","Sydney Ayres","Perry Banks","Edith Borella","Caroline Cooke","Harry von Meter","","","","","",""
"The Strength o' Ten","1914","William Garwood","Harry von Meter","","","","","","Drama","","",""
"A Study in Scarlet","1914","Francis Ford","Grace Cunard","John Ford","","","","","","","",""
"Sweet and Low","1914","William Garwood","Harry von Meter","","","","","","Drama","","",""
"Such a Little Queen","1914","Mary Pickford","Harold Lockwood","","","","","","Comedy","","",""
"The Taming of Sunnybrook Nell","1914","William Garwood","Louise Lester","B. Reeves Eason","","","","","","","",""
"Tango Tangles","1914","Charlie Chaplin","Fatty Arbuckle","Ford Sterling","","","","","Comedy","","",""
"The Telltale Knife","1914","Tom Mix","Hoot Gibson","","","","","","Western","","",""
"The Ten of Spades","1914","William Garwood","Victory Bateman","William Lowery","Muriel Ostriche","","","","","","",""
"Tess of the Storm Country","1914","Mary Pickford","","","","","","","Drama","","",""
"Their Worldly Goods","1914","William Garwood","Edith Borella","Charlotte Burton","","","","","","","",""
"This Is th' Life","1914","Charlotte Burton","George Field","Edward Coxen","Edith Borella","John Steppling","","","","","",""
"Those Love Pangs","1914","Charlie Chaplin","Chester Conklin","Cecile Arnold","","","","","Comedy","","",""
"A Ticket to Red Horse Gulch","1914","Belle Bennett","William Garwood","William Lowery","","","","","Western","","",""
"Tillie's Punctured Romance","1914","Charlie Chaplin","Marie Dressler","Mabel Normand","Keystone Kops","","","","Comedy","","",""
"To Be Called For","1914","Adda Gleason","Lafe McKee","Earle Foxe","","","","","Comedy","","",""
"The Town of Nazareth","1914","Charlotte Burton","William Bertram","Albert Cavens","Edward Coxen","","","","","","",""
"True Western Hearts","1914","Sydney Ayres","Helen Armstrong","Jacques Jaccard","","","","","Western","","",""
"A Turn of the Cards","1914","William Garwood","Howard Davies","William Lowery","","","","","Drama","","",""
"Twenty Minutes of Love","1914","Charlie Chaplin","Minta Durfee","Edgar Kennedy","","","","","Comedy","","",""
"Uncle Tom's Cabin (1914 film)","1914","Sam Lucas","Teresa Michelena","Roy Applegate","","","","","Drama","","",""
"The Unlawful Trade","1914","Pauline Bush","William Lloyd","","","","","","Drama","","",""
"The Unmasking","1914","William Garwood","Harry De Vere","Jack Richardson","Vivian Rich","","","","","","",""
"Unto the Weak","1914","Charlotte Burton","William Bertram","","","","","","Drama","","",""
"The Virginian","1914","Dustin Farnum","","","","","","","Western","","",""
"What's His Name","1914","Max Figman","Lolita Robertson","","","","","","Comedy","","",""
"When a Woman Waits","1914","Charlotte Burton","Bessie Banks","","","","","","Drama","","",""
"The Widow's Investment","1914","Charlotte Burton","Sydney Ayres","Chick Morrison","","","","","Drama","","",""
"Wildflower","1914","Marguerite Clark","Harold Lockwood","","","","","","Romance","","",""
"The Wishing Ring","1914","Vivian Martin","Alec B. Francis","Chester Barnett","","","","","Comedy","","",""
"The Wrath of the Gods","1914","Sessue Hayakawa","Tsuru Aoki","Frank Borzage","","","","","Drama","","",""
"The Wrong Birds","1914","Edith Borella","Charlotte Burton","George Field","Edward Coxen","","","","Drama","","",""
"After Five","1915","Edward Abeles","Sessue Hayakawa","","","","","","Comedy","","",""
"After the Storm","1915","Vivian Rich","Harry von Meter","","","","","","","","",""
"Anna Karenina","1915","Betty Nansen","and","Edward José","","","","","Historical","Drama","",""
"The Arab","1915","Edgar Selwyn","Horace B. Carpenter","","","","","","Adventure","","",""
"The Assayer of Lone Gap","1915","Perry Banks","Louise Lester","","","","","","","","",""
"Auntie's Portrait","1915","Sidney Drew","Ethel Lee","","","","","","Comedy","Short","",""
"The Barren Gain","1915","Charlotte Burton","","","","","","","Drama","","",""
"The Beachcomber","1915","Hobart Bosworth","","","","","","","Drama","","",""
"Beyond His Fondest Hopes","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Birth of a Nation","1915","Lillian Gish","Mae Marsh","","","","","","","","",""
"The Blot on the Shield","1915","Dick La Reno","Vivian Rich","","","","","","","","",""
"The Bluffers","1915","Vivian Rich","Gayne Whitman","","","","","","","","",""
"Buckshot John","1915","Hobart Bosworth","","","","","","","Western","","",""
"Bughouse Bellhops","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Burlesque on Carmen","1915","Charles Chaplin","Edna Purviance","","","","","","Comedy","","",""
"The Captive","1915","Blanche Sweet","House Peters","","","","","","Historical","","",""
"Carmen","1915","Geraldine Farrar","Wallace Reid","","","","","","Adventure","","",""
"Carmen","1915","Theda Bara","","","","","","","Adventure","","",""
"The Champion","1915","Charles Chaplin","","","","","","","Comedy","Short","",""
"The Cheat","1915","Fannie Ward","Sessue Hayakawa","","","","","","Drama","","",""
"Chimmie Fadden","1915","Victor Moore","","","","","","","Comedy","Western","",""
"Chimmie Fadden Out West","1915","Victor Moore","","","","","","","Comedy","Western","",""
"The Chorus Lady","1915","Cleo Ridgely","Marjorie Daw","","","","","","Comedy","","",""
"Christmas Memories","1915","Delmer Daves","Robert Z. Leonard","","","","","","Drama","","",""
"Close-Cropped Clippings","1915","Harold Lloyd","","","","","","","Comedy","","",""
"The Commuters","1915","Irene Fenwick","","","","","","","Comedy","","",""
"Competition","1915","Charlotte Burton","","","","","","","","","",""
"Court House Crooks","1915","Ford Sterling","Charles Arling","","","","","","Comedy","","",""
"David Harum","1915","William H. Crane","May Allison","","","","","","Romance","Comedy","",""
"The Day of Reckoning","1915","Vivian Rich","David Lythgoe","","","","","","Drama","","",""
"Double Trouble","1915","Douglas Fairbanks","Margery Wilson","","","","","","Comedy","","",""
"Drawing the Line","1915","Lillian Buckingham","","","","","","","Drama","","",""
"Enoch Arden","1915","Alfred Paget","Lillian Gish","","","","","","Drama","","",""
"The Exile of Bar-K Ranch","1915","Jack Richardson","","","","","","","Western","","",""
"Fatty's Tintype Tangle","1915","Fatty Arbuckle","","","","","","","Comedy","","",""
"A Fool There Was","1915","Theda Bara","Edward Jose","","","","","","Drama","","",""
"A Foozle at the Tee Party","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Four Feathers","1915","Edgar L. Davenport","Fuller Mellish","","","","","","Drama","","",""
"From Italy's Shores","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Fresh from the Farm","1915","Harold Lloyd","","","","","","","Comedy","","",""
"The Girl of the Golden West","1915","Mabel Van Buren","","","","","","","Western","","",""
"A Girl of Yesterday","1915","Mary Pickford","Jack Pickford","","","","","","Comedy","","",""
"Giving Them Fits","1915","Harold Lloyd","","","","","","","Comedy","","",""
"The Golden Chance","1915","Cleo Ridgely","Wallace Reid","","","","","","Drama","","",""
"A Good Business Deal","1915","Jack Richardson","","","","","","","","","",""
"Great While It Lasted","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Hearts in Shadow","1915","Louise Lester","","","","","","","","","",""
"His New Job","1915","Charlie Chaplin","Ben Turpin","","","","","","Comedy","","",""
"The Honor of the District Attorney","1915","Vivian Rich","","","","","","","Drama","","",""
"The Hungry Actors","1915","Harold Lloyd","","","","","","","Comedy","","",""
"The Immigrant","1915","Valeska Suratt","","","","","","","Drama","","",""
"In The Park","1915","Charlie Chaplin","Leo White","Edna Purviance","","","","","Comedy","","",""
"In Trust","1915","Bessie Banks","Perry Banks","","","","","","","","",""
"Inspiration","1915","Audrey Munson","Thomas A. Curran","","","","","","Drama","","",""
"The Italian","1915","George Beban","Clara Williams","","","","","","Drama","","",""
"Judge Not; or The Woman of Mona Diggings","1915","Julia Dean","Harry Carter","","","","","","Drama","","",""
"Just Nuts","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Kindling","1915","","","","","","","","","","",""
"Lady Audley's Secret","1915","Theda Bara","Riley Hatch","","","","","","Drama","","",""
"The Lamb","1915","Douglas Fairbanks Sr.","Seena Owen","","","","","","","","",""
"The Little Lady Next Door","1915","Perry Banks","Louise Lester","","","","","","","","",""
"Lonesome Luke, Social Gangster","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Love, Loot and Crash","1915","Charley Chase","Dora Rodgers","","","","","","Comedy","","",""
"Mabel and Fatty Viewing the World's Fair at San Francisco","1915","Mabel Normand","Fatty Arbuckle","","","","","","","","",""
"The Man from Texas","1915","Tom Mix","","","","","","","Western","","",""
"Martyrs of the Alamo","1915","Sam De Grasse","","","","","","","Historical","","",""
"A Mixup for Mazie","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Mountain Mary","1915","Louise Lester","","","","","","","","","",""
"The Newer Way","1915","Joseph Galbraith","","","","","","","","","",""
"Peculiar Patients' Pranks","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Pete, the Pedal Polisher","1915","Harold Lloyd","","","","","","","Comedy","","",""
"The Poet of the Peaks","1915","Louise Lester","","","","","","","","","",""
"Pool Sharks","1915","W. C. Fields","","","","","","","Comedy","Short","",""
"The Pretty Sister of Jose","1915","Marguerite Clark","Jack Pickford","","","","","","Romance","","",""
"Profit from Loss","1915","Vivian Rich","","","","","","","","","",""
"A Question of Honor","1915","Jack Richardson","","","","","","","","","",""
"Ragtime Snap Shots","1915","Harold Lloyd","","","","","","","","","",""
"The Raven","1915","Henry Walthall","","","","","","","Biography","","",""
"Regeneration","1915","Rockliffe Fellowes","Anna Q. Nilsson","","","","","","Crime","Drama","",""
"The Ring of Destiny","1915","Cleo Madison","Hoot Gibson","","","","","","Western","","",""
"Ruses, Rhymes and Roughnecks","1915","Harold Lloyd","","","","","","","","","",""
"She Walketh Alone","1915","","","","","","","","","","",""
"Should a Wife Forgive?","1915","Lillian Lorraine","Henry King","","","","","","Drama","","",""
"The Silver Lining","1915","Gayne Whitman","Vivian Rich","","","","","","","","",""
"A Small Town Girl","1915","Pauline Bush","William Lloyd","Lon Chaney","","","","","Drama","","",""
"The Smuggler's Cave","1915","Jack Richardson","","","","","","","Drama","","",""
"The Solution to the Mystery","1915","Vivian Rich","","","","","","","","","",""
"Some Baby","1915","Harold Lloyd","","","","","","","","","",""
"The Soul of Broadway","1915","Valeska Suratt","","","","","","","Drama","","",""
"The Spirit of Adventure","1915","Jack Richardson","","","","","","","","","",""
"Spit-Ball Sadie","1915","Harold Lloyd","","","","","","","","","",""
"Stingaree","1915","True Boardman","","","","","","","","","",""
"A Submarine Pirate","1915","Syd Chaplin","Wesley Ruggles","","","","","","Comedy","","",""
"The Substitute Minister","1915","Vivian Rich","","","","","","","","","",""
"Temptation","1915","Geraldine Farrar","Theodore Roberts","","","","","","Drama","","",""
"Terribly Stuck Up","1915","Harold Lloyd","","","","","","","Comedy","","",""
"Their Social Splash","1915","Slim Summerville","Harold Lloyd","","","","","","Comedy","","",""
"Tinkering with Trouble","1915","Harold Lloyd","Snub Pollard","","","","","","Comedy","","",""
"To Melody a Soul Responds","1915","Ashton Dearholt","","","","","","","","","",""
"To Rent Furnished","1915","Bessie Banks","","","","","","","","","",""
"The Toast of Death","1915","Louise Glaum","","","","","","","Drama","","",""
"The Tramp","1915","Charles Chaplin","","","","","","","Comedy","Short","",""
"The Two Orphans","1915","Theda Bara","","","","","","","Drama","","",""
"The Unafraid","1915","Rita Jolivet","House Peters","","","","","","Drama","","",""
"The Vampire (1915 film)","1915","Olga Petrova","","","","","","","Drama","","",""
"The Warrens of Virginia","1915","Blanche Sweet","James Neill","","","","","","Drama","","",""
"The Wasp","1915","Vivian Rich","","","","","","","","","",""
"The Wild Goose Chase","1915","Ina Claire","Lucien Littlefield","","","","","","Comedy","Drama","",""
"Willie Runs the Park","1915","Harold Lloyd","Jane Novak","","","","","","Comedy","","",""
"Work","1915","Charles Chaplin","Edna Purviance","","","","","","Comedy","","",""
"20,000 Leagues Under the Sea","1916","Lois Alexander","Curtis Benton","Wallace Clarke","Allen Holubar","","","","Action","Adventure","",""
"A La Cabaret","1916","Ora Carew","Joseph Belmont","Blanche Payson","","","","","Comedy","","",""
"The Abandonment","1916","Forrest Taylor","Harry von Meter","Helene Rosson","","","","","Drama","","",""
"American Aristocracy","1916","Douglas Fairbanks","Jewel Carmen","","","","","","Adventure","Comedy","",""
"The Americano","1916","Douglas Fairbanks","","","","","","","Adventure","","",""
"Arthur's Desperate Resolve","1916","William Garwood","Lois Wilson","","","","","","Comedy","","",""
