"title","year","cast__001","cast__002","cast__003","cast__004","cast__005","cast__006","cast__007","genres__001","genres__002","genres__003","genres__004"
"The Aryan","1916","William S. Hart","Louise Glaum","Bessie Love","","","","","Western","Drama","",""
"Behind the Screen","1916","Charlie Chaplin","Edna Purviance","Eric Campbell","","","","","Comedy","","",""
"Betty of Greystone","1916","Dorothy Gish","Owen Moore","","","","","","Drama","","",""
"Billy's War Brides","1916","William Garwood","Sonia Marcelle","Molly Gilmore","","","","","Comedy","","",""
"The Broken Cross","1916","Harold Lockwood","May Allison","","","","","","Romance","","",""
"The Bondman","1916","William Farnum","Dorothy Bernard","L.O. Hart","","","","","Drama","","",""
"Broken Fetters","1916","Kittens Reichert","Violet Mersereau","","","","","","Comedy","","",""
"The Bruiser","1916","Charlotte Burton","William Russell","George Ferguson","Lizette Thorne","","","","Drama","","",""
"The Children in the House","1916","Norma Talmadge","Eugene Pallette","","","","","","Drama","","",""
"Civilization","1916","Howard C. Hickman","Enid Markey","George Fisher","","","","","Drama","","",""
"The Count","1916","Charlie Chaplin","Edna Purviance","Eric Campbell","","","","","Comedy","","",""
"The Craving","1916","Charlotte Burton","William Russell","Helene Rosson","","","","","Drama","","",""
"The Curse of Quon Gwon","1916","","","","","","","","Drama","","",""
"A Daughter of the Gods","1916","Annette Kellerman","Hal De Forrest","","","","","","Drama","","",""
"The Decoy","1916","William Garwood","Edward Brady","Lois Wilson","","","","","Drama","","",""
"Divorce and the Daughter","1916","Florence La Badie","Edwin Stanley","Ethelmary Oakland","","","","","Drama","","",""
"The Dream Girl","1916","Mae Murray","Theodore Roberts","Earle Foxe","","","","","Drama","","",""
"Dulcie's Adventure","1916","Mary Miles Minter","Bessie Banks","Marie Van Tassell","Harry von Meter","","","","Drama","","",""
"Energetic Eva","1916","Eva Tanguay","","","","","","","Comedy","","",""
"The Fatal Glass of Beer","1916","Elmo Lincoln","Tully Marshall","","","","","","Comedy","","",""
"The Fate of the Dolphin","1916","Perry Banks","Edward Coxen","","","","","","Drama","","",""
"Fatty and Mabel Adrift","1916","Roscoe ""Fatty"" Arbuckle","Mabel Normand","","","","","","Short","Comedy","",""
"Felix on the Job","1916","Lon Chaney","","","","","","","Comedy","","",""
"The Fireman","1916","Charlie Chaplin","Edna Purviance","Lloyd Bacon","","","","","Short","Comedy","",""
"The Floorwalker","1916","Charlie Chaplin","Edna Purviance","Eric Campbell","Lloyd Bacon","","","","Short","Comedy","",""
"The Gamble","1916","Harold Lockwood","May Allison","","","","","","Drama","","",""
"The Gentle Art of Burglary","1916","William Garwood","Violet Mersereau","","","","","","Comedy","","",""
"Going Straight","1916","Norma Talmadge","Ralph Lewis","","","","","","Drama","","",""
"The Good Bad Man","1916","Douglas Fairbanks","Sam De Grasse","","","","","","Western","","",""
"Gretchen the Greenhorn","1916","Dorothy Gish","Ralph Lewis","Elmo Lincoln","","","","","Drama","","",""
"The Grey Sisterhood","1916","William Garwood","Stella LeSaint","Ogden Crane","","","","","Mystery","","",""
"The Habit of Happiness","1916","Douglas Fairbanks","George Fawcett","","","","","","Comedy","","",""
"The Half-Breed","1916","Douglas Fairbanks","Alma Rubens","Sam De Grasse","","","","","Western","","",""
"He Wrote a Book","1916","William Garwood","Edward Brady","","","","","","Comedy","","",""
"The Heart of Nora Flynn","1916","Marie Doro","Elliott Dexter","","","","","","Drama","","",""
"Hell's Hinges","1916","William S. Hart","Clara Williams","","","","","","","","",""
"The Highest Bid","1916","William Russell","Charlotte Burton","","","","","","Drama","","",""
"His Picture","1916","William Garwood","Violet Mersereau","Clara Beyers","","","","","Comedy","","",""
"Hoodoo Ann","1916","Mae Marsh","Robert Harron","","","","","","Comedy","Drama","",""
"Hulda from Holland","1916","Mary Pickford","Frank Losee","","","","","","Drama","","",""
"The Innocent Lie","1916","Valentine Grant","Jack J. Clark","","","","","","Drama","","",""
"An Innocent Magdalene","1916","Lillian Gish","Spottiswoode Aitken","","","","","","Drama","","",""
"Intolerance","1916","Mae Marsh","Robert Harron","Constance Talmadge","Lillian Gish","","","","Drama","","",""
"Joan the Woman","1916","Geraldine Farrar","","","","","","","Historical","","",""
"La Bohème","1916","Alice Brady","Paul Capellani","","","","","","Historical","Drama","",""
"The League of the Future","1916","William Garwood","","","","","","","","","",""
"Let Katy Do It","1916","Jane Grey","Tully Marshall","","","","","","Drama","","",""
"Lights of New York","1916","Leah Baird","Walter McGrail","Adele DeGarde","","","","","Drama","","",""
"Lillo of the Sulu Seas","1916","Harold Lockwood","May Allison","","","","","","Romance","","",""
"Little Eve Edgarton","1916","Ella Hall","Doris Pawn","","","","","","Drama","","",""
"Lonesome Luke Leans to the Literary","1916","Harold Lloyd","Bebe Daniels","","","","","","Short","Comedy","",""
"Lonesome Luke Lolls in Luxury","1916","Harold Lloyd","Bebe Daniels","","","","","","Short","Comedy","",""
"Lonesome Luke, Circus King","1916","Harold Lloyd","Bebe Daniels","","","","","","Short","Comedy","",""
"The Love Girl","1916","Ella Hall","Adele Farrington","","","","","","Drama","","",""
"The Love Hermit","1916","William Russell","Charlotte Burton","","","","","","Drama","","",""
"Luke and the Bang-Tails","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke and the Bomb Throwers","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke and the Mermaids","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke and the Rural Roughnecks","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Does the Midway","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Foils the Villain","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Joins the Navy","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Laughs Last","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Locates the Loot","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Lugs Luggage","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Pipes the Pippins","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke Rides Roughshod","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, Crystal Gazer","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, Patient Provider","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, Rank Impersonator","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, the Candy Cut-Up","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, the Chauffeur","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke, the Gladiator","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Double","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Fatal Flivver","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Fireworks Fizzle","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Late Lunchers","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Lost Lamb","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Movie Muddle","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Newsie Knockout","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Preparedness Preparations","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Shattered Sleep","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Society Mixup","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Speedy Club Life","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Luke's Washful Waiting","1916","Harold Lloyd","","","","","","","Short","Comedy","",""
"Macbeth","1916","Herbert Beerbohm Tree","Constance Collier","Wilfred Lucas","","","","","Drama","","",""
"Madame X","1916","Dorothy Donnelly","John Bowers","","","","","","Drama","","",""
"The Man Who Would Not Die","1916","Charlotte Burton","Harry Keenan","","","","","","Drama","","",""
"The Man in the Sombrero","1916","Harold Lockwood","May Allison","William Stowell","","","","","Romance","Drama","",""
"Manhattan Madness","1916","Douglas Fairbanks","Jewel Carmen","","","","","","Comedy","","",""
"Maria Rosa","1916","Geraldine Farrar","Wallace Reid","","","","","","Drama","","",""
"Martha's Vindication","1916","Norma Talmadge","Seena Owen","","","","","","Drama","","",""
"Matching Dreams","1916","Sylvia Ashton","Vivian Rich","","","","","","Short","Comedy","",""
"A Message to Garcia","1916","Mabel Trunnelle","Charles Sutton","","","","","","","","",""
"The Missing Links","1916","Thomas Jefferson","Elmer Clifton","Robert Harron","","","","","Drama","","",""
"The Moonshiners","1916","Joe Bordeaux","J. Herbert Frank","","","","","","Short","Comedy","",""
"Oliver Twist","1916","Marie Doro","Tully Marshall","","","","","","Drama","","",""
"One A.M.","1916","Charlie Chaplin","","","","","","","Short","Comedy","",""
"The Other Side of the Door","1916","Harold Lockwood","May Allison","","","","","","Romance","Drama","",""
"The Pawnshop","1916","Charlie Chaplin","Edna Purviance","Henry Bergman","","","","","Short","Comedy","",""
"Pay Dirt","1916","Henry King","Marguerite Nichols","","","","","","Drama","","",""
"The Plow Girl","1916","Mae Murray","Elliott Dexter","","","","","","Drama","","",""
"Police","1916","Charlie Chaplin","Edna Purviance","Wesley Ruggles","","","","","Short","Comedy","",""
"Ramona","1916","Adda Gleason","Mabel Van Buren","Ann Dvorak","","","","","Drama","","",""
"The Release of Dan Forbes","1916","Helene Rosson","William Stowell","Harry von Meter","","","","","Drama","","",""
"The Rink","1916","Charlie Chaplin","Edna Purviance","","","","","","Short","Comedy","",""
"A Sanitarium Scramble","1916","Sylvia Ashton","","","","","","","Comedy","","",""
"Secret Love","1916","Jack Curtis","Helen Ware","","","","","","Drama","","",""
"The Secret Wire","1916","Harold Lockwood","May Allison","","","","","","Romance","","",""
"Sequel to the Diamond from the Sky","1916","William Russell","Dodo Newton","","","","","","","","",""
"Shadows","1916","Frank Mayo","","","","","","","","","",""
"Sherlock Holmes","1916","William Gillette","Edward Fielding","","","","","","Mystery","","",""
"A Sister of Six","1916","Ben Lewis","Bessie Love","","","","","","Western","","",""
"The Smugglers of Santa Cruz","1916","Charlotte Burton","","","","","","","Drama","","",""
"Snow White","1916","Marguerite Clark","","","","","","","Fantasy","","",""
"A Society Sherlock","1916","William Garwood","Irma Dawkins","","","","","","Comedy","","",""
"A Soul at Stake","1916","Andrew Arbuckle","Lois Wilson","","","","","","Drama","","",""
"The Soul's Cycle","1916","Patricia Palmer","","","","","","","Drama","","",""
"Stampede in the Night","1916","Hoot Gibson","Olive Carey","","","","","","Western","","",""
"The Stepping Stone","1916","Frank Keenan","Mary Boland","","","","","","Drama","","",""
"The Strength of Donald McKenzie","1916","William Russell","Jack Prescott","","","","","","Drama","","",""
"Them Was the Happy Days!","1916","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"The Thoroughbred","1916","Charlotte Burton","Jack Prescott","","","","","","Drama","","",""
"Three Fingered Jenny","1916","William Garwood","Stella LeSaint","Carmen Phillips","","","","","Mystery","","",""
"Time and Tide","1916","Hugh Bennett","","","","","","","Drama","","",""
"To Have and to Hold","1916","Mae Murray","Wallace Reid","","","","","","Adventure","","",""
"The Torch Bearer","1916","Charlotte Burton","Harry Keenan","","","","","","Drama","","",""
"The Trail of the Lonesome Pine","1916","Charlotte Walker","Thomas Meighan","","","","","","Drama","","",""
"True Nobility","1916","Helene Rosson","Forrest Taylor","","","","","","Drama","","",""
"The Twinkler","1916","William Russell","Charlotte Burton","","","","","","Crime","","",""
"Two Seats at the Opera","1916","William J. Welsh","","","","","","","Comedy","","",""
"Under Two Flags","1916","Theda Bara","Herbert Heyes","","","","","","Drama","","",""
"The Undertow","1916","Franklin Ritchie","Helene Rosson","","","","","","Drama","","",""
"The Vagabond","1916","Charles Chaplin","Edna Purviance","","","","","","Comedy","","",""
"Viviana","1916","Sylvia Ashton","","","","","","","Drama","","",""
"Where Are My Children?","1916","Tyrone Power Sr","Juan de la Cruz","","","","","","Crime","Drama","",""
"The White Rosette","1916","Eugenie Forde","Richard La Reno","","","","","","Drama","","",""
"Youth's Endearing Charm","1916","Mary Miles Minter","Wallace MacDonald","","","","","","Drama","","",""
"The Adventurer","1917","Charlie Chaplin","Edna Purviance","","","","","","Comedy","","",""
"All Aboard","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"As Men Love","1917","House Peters Sr.","Myrtle Stedman","Jack W. Johnston","","","","","Drama","","",""
"At First Sight","1917","Mae Murray","Sam Hardy","","","","","","Comedy","","",""
"The Babes in the Woods","1917","Francis Carpenter","Virginia Lee Corbin","","","","","","Fantasy","","",""
"The Bad Boy","1917","Robert Harron","Richard Cummings","","","","","","Crime","Drama","",""
"Bashful","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"The Big Idea","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"Birds of a Feather","1917","Harold Lloyd","Snub Pollard","","","","","","Comedy","","",""
"Black Orchids","1917","Cleo Madison","Francis McDonald","","","","","","Drama","","",""
"Bliss","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"The Bride's Silence","1917","Gail Kane","Lewis J. Cody","","","","","","Drama","","",""
"Bucking Broadway","1917","Harry Carey","Molly Malone","","","","","","Western","","",""
"The Butcher Boy","1917","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","","",""
"By the Sad Sea Waves","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Camille","1917","Theda Bara","Alan Roscoe","","","","","","Drama","","",""
"Cheyenne's Pal","1917","Harry Carey","Gertrude Astor","","","","","","Western","","",""
"Cleopatra","1917","Theda Bara","Fritz Leiber Sr.","Thurston Hall","","","","","Historical","","",""
"Clubs Are Trump","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Coney Island","1917","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","","",""
"The Cure","1917","Charlie Chaplin","Edna Purviance","Eric Campbell","","","","","Comedy","","",""
"The Devil-Stone","1917","Geraldine Farrar","Wallace Reid","","","","","","Romance","","",""
"Down to Earth","1917","Douglas Fairbanks","Eileen Percy","","","","","","Romance","Comedy","",""
"Easy Street","1917","Charlie Chaplin","Edna Purviance","","","","","","Comedy","","",""
"Enlighten Thy Daughter","1917","","","","","","","","Erotic","","",""
"The Flirt","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"The Flower of Doom","1917","Wedgwood Nowell","Yvette Mitchell","","","","","","Drama","","",""
"From Laramie to London","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Golden Rule Kate","1917","Louise Glaum","","","","","","","Western","","",""
"Great Expectations","1917","Jack Pickford","Louise Huff","","","","","","Drama","","",""
"The Gulf Between","1917","Grace Darmond","Niles Welch","","","","","","Comedy","Drama","",""
"Hands Up!","1917","Wilfred Lucas","Colleen Moore","","","","","","Western","","",""
"Her Right to Live","1917","Peggy Hyland","Antonio Moreno","","","","","","Drama","","",""
"His Wedding Night","1917","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","","",""
"The Immigrant","1917","Charlie Chaplin","Edna Purviance","","","","","","Comedy","","",""
"In Again, Out Again","1917","Douglas Fairbanks","","","","","","","Comedy","","",""
"Jack and the Beanstalk","1917","Francis Carpenter","Virginia Lee Corbin","","","","","","Fantasy","","",""
"Jim Bludso","1917","Wilfred Lucas","Olga Grey","","","","","","Drama","","",""
"The Jury of Fate","1917","Mabel Taliaferro","","","","","","","Drama","","",""
"A Kentucky Cinderella","1917","Ruth Clifford","","","","","","","","","",""
"The Lad and the Lion","1917","Vivian Reed","Will Machin","","","","","","Adventure","","",""
"The Land of the Long Shadows","1917","Jack Gardner","Ruth King","","","","","","Western","","",""
"The Little American","1917","Mary Pickford","","","","","","","War","Drama","",""
"Little Lost Sister","1917","Vivian Reed","George Fawcett","","","","","","","","",""
"The Little Princess","1917","Mary Pickford","Norman Kerry","ZaSu Pitts","","","","","Drama","","",""
"Lonesome Luke, Lawyer","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke, Mechanic","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke, Messenger","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke, Plumber","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke Loses Patients","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke on Tin Can Alley","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke's Honeymoon","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke's Lively Life","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke's Lovely Rifle","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lonesome Luke's Wild Women","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Lost and Won","1917","Marie Doro","Elliott Dexter","","","","","","Drama","","",""
"Love, Laughs and Lather","1917","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"A Love Sublime","1917","Wilfred Lucas","Carmel Myers","","","","","","Romance","","",""
"Luke Wins Ye Ladye Faire","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Luke's Busy Day","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Luke's Lost Liberty","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"Luke's Trolley Troubles","1917","Harold Lloyd","","","","","","","Comedy","Short","",""
"The Man Without a Country","1917","Florence La Badie","Holmes Herbert","","","","","","Drama","","",""
"The Mate of the Sally Ann","1917","Mary Miles Minter","Allan Forrest","","","","","","Comedy","Drama","",""
"A Modern Musketeer","1917","Douglas Fairbanks","Marjorie Daw","","","","","","Adventure","","",""
"A Mormon Maid","1917","Mae Murray","Frank Borzage","","","","","","Drama","","",""
"Move On","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Oh Doctor!","1917","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","","",""
"On Record","1917","Mae Murray","Tom Forman","","","","","","Crime","Drama","",""
"Over the Fence","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Panthea","1917","Norma Talmadge","Earle Foxe","","","","","","Drama","","",""
"Peggy, the Will O' the Wisp","1917","Mabel Taliaferro","Thomas Carrigan","","","","","","Drama","","",""
"Pinched","1917","Harold Lloyd","","","","","","","Comedy","","",""
"The Poor Little Rich Girl","1917","Mary Pickford","","","","","","","Drama","","",""
"The Primrose Ring","1917","Mae Murray","Tom Moore","","","","","","Drama","","",""
"The Princess of Patches","1917","Violet De Biccari","Vivian Reed","","","","","","","","",""
"Princess Virtue","1917","Mae Marsh","Wheeler Oakman","","","","","","Drama","","",""
"Rainbow Island","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Reaching for the Moon","1917","Douglas Fairbanks","Eileen Percy","","","","","","Adventure","","",""
"Rebecca of Sunnybrook Farm","1917","Mary Pickford","","","","","","","Drama","","",""
"A Reckless Romeo","1917","Fatty Arbuckle","Al St. John","","","","","","Comedy","","",""
"The Reward of the Faithless","1917","Claire DuBray","Betty Schade","Wedgwood Nowell","","","","","Drama","","",""
"A Romance of the Redwoods","1917","Mary Pickford","Elliott Dexter","","","","","","Drama","","",""
"The Rough House","1917","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","","",""
"Souls in Pawn","1917","Gail Kane","Douglas MacLean","","","","","","Spy","","",""
"Souls Triumphant","1917","Lillian Gish","Wilfred Lucas","","","","","","Drama","","",""
"Step Lively","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Stop! Luke! Listen!","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Straight Shooting","1917","Harry Carey","","","","","","","Western","","",""
"A Strange Transgressor","1917","Louise Glaum","","","","","","","Drama","","",""
"Teddy at the Throttle","1917","Gloria Swanson","Bobby Vernon","Wallace Beery","","","","","Comedy","","",""
"Tom Sawyer","1917","Jack Pickford","","","","","","","","","",""
"The Tornado","1917","John Ford","","","","","","","Western","","",""
"We Never Sleep","1917","Harold Lloyd","","","","","","","Comedy","","",""
"Wild and Woolly","1917","Douglas Fairbanks","","","","","","","","","",""
"The Wild Girl","1917","Eva Tanguay","Thomas J. Moore","","","","","","","","",""
"The Woman God Forgot","1917","Wallace Reid","","","","","","","Romance","","",""
"The Accident Attorney","1918","","","","","","","","Comedy","","",""
"The Accusing Toe","1918","Sadie Clayton","","","","","","","Comedy","","",""
"Ali Baba and the Forty Thieves","1918","George Stone","Gertrude Messinger","","","","","","Adventure","","",""
"All Woman","1918","Mae Marsh","Jere Austin","","","","","","Comedy","","",""
"Amarilly of Clothes-Line Alley","1918","Mary Pickford","","","","","","","Drama","","",""
"America's Answer","1918","","","","","","","","","","",""
"Among the Cannibal Isles of the South Pacific","1918","","","","","","","","Documentary","","",""
"Are Crooks Dishonest?","1918","Harold Lloyd","Snub Pollard","","","","","","Comedy","","",""
"Arizona","1918","Douglas Fairbanks","Theodore Roberts","","","","","","Drama","","",""
"Back to the Woods","1918","Harold Lloyd","Bebe Daniels","","","","","","Comedy","","",""
"Beat It","1918","Harold Lloyd","","","","","","","Comedy","","",""
"Beauty and the Rogue","1918","Mary Miles Minter","Allan Forrest","","","","","","Crime","Drama","",""
"Bees in His Bonnet","1918","Harold Lloyd","","","","","","","Comedy","","",""
"Believe Me, Xantippe","1918","Wallace Reid","Ann Little","Noah Beery","","","","","Comedy","","",""
"The Bell Boy","1918","Fatty Arbuckle","Buster Keaton","","","","","","Comedy","Short","",""
"The Blind Adventure","1918","Edward Earle","Betty Howe","","","","","","","","",""
"The Blue Bird","1918","Tula Belle","","","","","","","Fantasy","","",""
